day,date_dt,new_case,new_deaths,new_persons_tested,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1,3/10/20,90,1,126,-3,3,-29,-13,-2,3
2,3/11/20,130,0,259,2,11,5,-6,0,1
3,3/12/20,156,0,652,-8,12,-35,-19,-3,4
4,3/13/20,146,0,771,-5,37,-37,-21,-7,6
5,3/14/20,140,0,473,-14,27,-47,-23,-7,7
6,3/15/20,159,0,513,-16,12,-22,-21,-9,6
7,3/16/20,214,0,1413,-19,12,-40,-29,-22,11
8,3/17/20,202,0,1747,-24,8,-21,-30,-29,14
9,3/18/20,175,0,1640,-28,3,-12,-33,-33,16
10,3/19/20,210,4,1763,-32,3,-30,-39,-35,18
11,3/20/20,238,3,1896,-40,-5,-29,-44,-41,22
12,3/21/20,186,3,845,-48,-13,-28,-46,-34,18
13,3/22/20,241,4,732,-52,-26,-36,-54,-38,16
14,3/23/20,284,7,2219,-42,-19,-32,-49,-47,22
15,3/24/20,270,3,2443,-43,-20,-34,-50,-49,23
16,3/25/20,423,7,2638,-43,-20,-34,-50,-49,23
17,3/26/20,362,4,2702,-43,-20,-35,-51,-50,24
18,3/27/20,356,9,3148,-45,-19,-34,-51,-49,25
19,3/28/20,374,8,2605,-50,-21,-52,-52,-39,20
20,3/29/20,354,15,1070,-51,-27,-48,-54,-41,17
21,3/30/20,590,11,3735,-42,-23,-34,-52,-51,22
22,3/31/20,617,16,3893,-42,-22,-38,-50,-51,23
23,4/1/20,594,19,4268,-41,-18,-34,-49,-52,23
24,4/2/20,585,22,4235,-43,-19,-39,-52,-52,25
25,4/3/20,761,26,4785,-43,-15,-38,-51,-51,25
26,4/4/20,574,21,2616,-50,-20,-54,-51,-41,20
27,4/5/20,552,24,1531,-53,-27,-59,-57,-43,17
28,4/6/20,491,17,2752,-49,-27,-58,-59,-54,25
29,4/7/20,696,26,3455,-51,-30,-58,-58,-54,26
30,4/8/20,580,39,4202,-49,-27,-51,-57,-55,26
31,4/9/20,585,37,5664,-55,-34,-69,-65,-57,29
32,4/10/20,568,30,5975,-49,-22,-55,-58,-57,29
33,4/11/20,446,30,3043,-51,-19,-54,-52,-43,20
34,4/12/20,380,37,1152,-64,-38,-69,-60,-46,18
35,4/13/20,657,42,3269,-47,-28,-47,-54,-51,23
36,4/14/20,642,48,4571,-45,-25,-38,-51,-51,24
37,4/15/20,849,35,7049,-47,-21,-36,-50,-51,24
38,4/16/20,857,60,6631,-55,-20,-38,-51,-51,24
39,4/17/20,860,39,6906,-56,-19,-42,-52,-50,25
40,4/18/20,605,39,5403,-59,-21,-56,-50,-38,19
41,4/19/20,474,37,2872,-60,-25,-50,-53,-39,16
42,4/20/20,936,48,5799,-54,-22,-38,-50,-49,22
43,4/21/20,861,40,7679,-54,-21,-35,-51,-50,23
44,4/22/20,751,46,6148,-54,-20,-33,-51,-50,23
45,4/23/20,925,50,5739,-54,-19,-35,-51,-51,24
46,4/24/20,942,43,8142,-54,-16,-37,-51,-49,24
47,4/25/20,858,38,8418,-57,-16,-48,-48,-37,17
48,4/26/20,495,41,3704,-57,-21,-45,-52,-39,15
49,4/27/20,962,37,10249,-52,-19,-32,-49,-48,21
50,4/28/20,875,52,10398,-52,-18,-32,-48,-49,14
51,4/29/20,874,41,10723,-50,-19,-34,-49,-49,22
52,4/30/20,766,44,16472,-48,-16,-33,-48,-50,22
53,5/1/20,795,36,16340,-48,-12,-30,-46,-48,23
54,5/2/20,623,48,13566,-51,-11,-41,-43,-35,16
55,5/3/20,341,41,5127,-51,-17,-35,-47,-34,13
56,5/4/20,774,42,16134,-46,-15,-26,-46,-46,19
57,5/5/20,1333,36,16899,-46,-11,-25,-45,-47,20
58,5/6/20,1042,51,19697,-47,-14,-26,-47,-48,21
59,5/7/20,1004,48,18217,-46,-12,-26,-47,-48,21
60,5/8/20,967,48,16368,-46,-8,-23,-45,-46,21
61,5/9/20,708,44,12592,-47,1,-32,-39,-32,14
62,5/10/20,349,31,4648,-48,-4,-30,-40,-31,10
63,5/11/20,1117,25,16641,-46,-18,-20,-46,-45,19
64,5/12/20,1189,45,18283,-46,-14,-21,-45,-46,20
65,5/13/20,946,37,19311,-45,-14,-16,-44,-46,20
66,5/14/20,1320,31,19161,-45,-14,-17,-45,-46,21
67,5/15/20,1282,43,20824,-46,-11,-14,-44,-45,21
68,5/16/20,679,49,13459,-48,-10,-22,-40,-30,14
69,5/17/20,370,34,4504,-48,-15,-13,-44,-30,12
70,5/18/20,1071,39,17730,-45,-18,-33,-49,-44,19
71,5/19/20,1048,37,16797,-42,-13,-13,-44,-44,19
72,5/20/20,1162,24,17199,-42,-11,-10,-43,-44,19
73,5/21/20,1018,25,15933,-42,-10,-10,-43,-44,19
74,5/22/20,1026,40,17261,-43,-8,-10,-43,-42,19
75,5/23/20,699,33,12309,-46,-7,-18,-39,-28,12
76,5/24/20,376,28,4031,-47,-11,-2,-43,-29,10
77,5/25/20,462,23,4040,-46,-13,16,-52,-72,24
78,5/26/20,1450,31,17479,-43,-13,-12,-43,-42,18
79,5/27/20,1121,35,15834,-42,-13,-8,-42,-42,18
80,5/28/20,1210,23,14271,-41,-12,-10,-43,-43,19
81,5/29/20,1076,25,14209,-43,-12,-13,-42,-42,19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,